,i,ppron,pronoun,negemo,adverb,anger,bio,cogmech,conj,sad,swear,affect,body,present,discrep,relativ,article,preps,posemo,space,time,funct,leisure,achieve,relig,social,incl,motion,we,auxverb
6652af8f87f0f01af8ca2456c2e8a24d,238.0,457.0,670.0,105.0,188.0,39.0,139.0,607.0,272.0,24.0,18.0,313.0,54.0,372.0,94.0,500.0,155.0,390.0,208.0,180.0,239.0,2028.0,50.0,42.0,27.0,433.0,164.0,67.0,19.0,308.0
6665bcd5e5324938fdbb5ea467fb5e3f,47.0,76.0,107.0,18.0,16.0,2.0,10.0,90.0,37.0,3.0,1.0,53.0,3.0,46.0,12.0,65.0,25.0,70.0,35.0,26.0,28.0,299.0,10.0,10.0,5.0,60.0,25.0,8.0,4.0,35.0
66e63156182f797069f4aa553ca4289d,33.0,110.0,199.0,42.0,110.0,11.0,51.0,446.0,158.0,5.0,4.0,208.0,15.0,144.0,32.0,319.0,179.0,275.0,163.0,125.0,131.0,1102.0,49.0,56.0,28.0,235.0,126.0,53.0,28.0,104.0
67108ce32009962caa2c62b4530c0dbb,215.0,286.0,393.0,79.0,141.0,31.0,65.0,360.0,110.0,18.0,15.0,200.0,24.0,200.0,44.0,352.0,119.0,261.0,119.0,125.0,161.0,1210.0,37.0,25.0,17.0,173.0,81.0,54.0,11.0,136.0
67207f4a005815aa28c2134f6a68fb05,707.0,1210.0,1905.0,343.0,615.0,138.0,305.0,1983.0,690.0,72.0,58.0,853.0,111.0,1048.0,186.0,1905.0,1014.0,1748.0,504.0,841.0,765.0,7462.0,269.0,226.0,92.0,999.0,524.0,254.0,87.0,979.0
673624376cb47f14958e55c55d15f85c,89.0,172.0,280.0,38.0,105.0,14.0,51.0,325.0,116.0,3.0,4.0,146.0,17.0,170.0,33.0,385.0,169.0,295.0,108.0,153.0,159.0,1171.0,56.0,41.0,0.0,174.0,77.0,65.0,15.0,144.0
676acf27dcf2b9ef7355ceab76897350,154.0,220.0,321.0,86.0,151.0,31.0,90.0,387.0,149.0,13.0,15.0,225.0,32.0,326.0,45.0,521.0,146.0,367.0,139.0,197.0,231.0,1397.0,88.0,30.0,10.0,177.0,99.0,78.0,16.0,263.0
6771a33cac9e781d6aaffdbbd7f30cb1,222.0,306.0,469.0,59.0,146.0,20.0,31.0,412.0,202.0,16.0,5.0,156.0,13.0,221.0,44.0,279.0,131.0,262.0,96.0,108.0,116.0,1418.0,32.0,35.0,2.0,211.0,99.0,49.0,4.0,188.0
67f1bddbdb60c7f4a82c9ae9e88d4e28,36.0,153.0,313.0,66.0,118.0,19.0,91.0,519.0,163.0,16.0,2.0,211.0,15.0,292.0,59.0,363.0,165.0,457.0,143.0,180.0,130.0,1575.0,25.0,56.0,11.0,342.0,114.0,45.0,15.0,251.0
682d8b0e89338b89a9bfeec286eee938,305.0,482.0,647.0,96.0,183.0,36.0,124.0,637.0,256.0,19.0,15.0,320.0,46.0,274.0,77.0,483.0,184.0,427.0,223.0,193.0,219.0,1993.0,60.0,53.0,12.0,427.0,191.0,63.0,16.0,231.0
